"x","y","g","gg"
4.257,2.028,"A","G1"
3.528,1.986,"A","G1"
4.535,2.632,"B","G2"
4.925,4.143,"C","G3"
3.598,4.828,"A","G4"
4.698,1.056,"B","G1"
3.443,4.268,"A","G3"
4.259,1.615,"A","G1"
4.918,2.313,"B","G1"
4.63,1.352,"C","G1"
5.702,4.927,"C","G4"
5.39,2.17,"B","G1"
4.183,4.218,"A","G3"
4.621,5.084,"B","G4"
4.668,5.376,"C","G2"
4.403,3.973,"A","G3"
4.19,4.546,"A","G4"
4.793,4.753,"B","G2"
4.933,5.044,"C","G4"
4.508,5.783,"B","G2"
4.257,3.862,"A","G3"
4.68,3.932,"B","G2"
5.795,5.352,"C","G4"
4.498,5,"A","G4"
5.594,5.374,"C","G4"
4.956,5.521,"B","G4"
4.109,4.692,"A","G4"
4.847,3.867,"B","G3"
4.444,3.591,"A","G3"
4.402,4.092,"A","G3"
4.515,1.819,"B","G1"
5.13,4.003,"C","G3"
3.744,3.685,"A","G3"
3.583,3.641,"A","G3"
5.296,4.434,"B","G3"
3.548,4.189,"A","G3"
3.841,5.03,"A","G4"
4.685,2.218,"B","G1"
5.258,2.518,"B","G2"
5.347,3.345,"B","G2"
3.892,2.659,"A","G2"
4.3,4.612,"A","G4"
4.091,2.758,"A","G2"
4.235,4.993,"A","G4"
4.909,2.985,"B","G2"
4.802,4.506,"B","G4"
4.424,2.301,"A","G1"
5.28,3.403,"B","G2"
5.275,3.584,"B","G3"
4.654,1.843,"B","G1"
4.057,3.844,"A","G3"
4.691,4.292,"B","G3"
4.639,2.019,"B","G1"
3.901,3.987,"A","G3"
4.859,2.398,"B","G1"
5.288,5.505,"B","G4"
5.395,5.087,"B","G4"
4.552,2.608,"B","G2"
4.246,1.983,"A","G1"
4.469,5.114,"A","G4"
