"nombre","oferta","demanda","origen","destino","capacidad","coste"
"Nodo01",10,,1,5,20,6
"Nodo02",10,,1,6,18,6
"Nodo03",10,,2,5,22,5
"Nodo04",,,2,6,11,9
"Nodo05",,,2,7,23,6
"Nodo06",,,3,8,28,9
"Nodo07",,,5,6,29,7
"Nodo08",,,5,7,28,8
"Nodo09",,,5,8,12,9
"Nodo10",,,5,9,18,9
"Nodo11",,,5,10,14,6
"Nodo12",,,6,9,28,8
"Nodo13",,,6,10,28,5
"Nodo14",,,6,11,25,9
"Nodo15",,5,7,9,22,9
"Nodo16",,5,7,10,21,8
"Nodo17",,5,7,11,21,8
"Nodo18",,5,7,12,27,9
"Nodo19",,5,8,9,21,5
"Nodo20",,5,8,10,18,9
NA,,,8,12,24,8
NA,,,8,13,20,6
NA,,,9,10,23,10
NA,,,9,11,16,7
NA,,,9,12,23,9
NA,,,9,13,15,7
NA,,,9,14,19,6
NA,,,10,12,13,7
NA,,,10,13,23,8
NA,,,10,14,13,10
NA,,,10,15,30,5
NA,,,11,12,21,7
NA,,,11,13,28,5
NA,,,11,14,12,7
NA,,,11,15,17,9
NA,,,11,16,23,6
NA,,,12,14,24,6
NA,,,12,15,17,9
NA,,,12,16,29,10
NA,,,12,17,12,6
NA,,,13,14,11,12
NA,,,13,16,13,11
NA,,,13,18,15,10
NA,,,14,16,10,7
NA,,,14,17,7,8
NA,,,14,18,9,9
NA,,,15,17,7,7
NA,,,15,18,6,9
NA,,,15,20,10,10
NA,,,16,17,6,9
NA,,,16,18,10,10
NA,,,16,19,7,7
NA,,,17,18,7,8
NA,,,17,19,9,6
NA,,,17,20,10,10
